"Pais","Year","Capacity","Energy_Type"
"Argentina",2013,10601,"Total"
"Argentina",2014,10597,"Total"
"Argentina",2015,10665,"Total"
"Argentina",2016,10717,"Total"
"Argentina",2017,10757,"Total"
"Argentina",2018,11483,"Total"
"Argentina",2019,12691,"Total"
"Argentina",2020,14071,"Total"
"Argentina",2021,15022,"Total"
"Argentina",2022,15092,"Total"
"Bolivia",2013,613,"Total"
"Bolivia",2014,653,"Total"
"Bolivia",2015,671,"Total"
"Bolivia",2016,695,"Total"
"Bolivia",2017,826,"Total"
"Bolivia",2018,1003,"Total"
"Bolivia",2019,1132,"Total"
"Bolivia",2020,1133,"Total"
"Bolivia",2021,1347,"Total"
"Bolivia",2022,1364,"Total"
"Brazil",2013,99835,"Total"
"Brazil",2014,106446,"Total"
"Brazil",2015,112641,"Total"
"Brazil",2016,121374,"Total"
"Brazil",2017,128417,"Total"
"Brazil",2018,136579,"Total"
"Brazil",2019,144575,"Total"
"Brazil",2020,150493,"Total"
"Brazil",2021,161136,"Total"
"Brazil",2022,175262,"Total"
"Chile",2013,7744,"Total"
"Chile",2014,8652,"Total"
"Chile",2015,9314,"Total"
"Chile",2016,10246,"Total"
"Chile",2017,11249,"Total"
"Chile",2018,11729,"Total"
"Chile",2019,12272,"Total"
"Chile",2020,13403,"Total"
"Chile",2021,15781,"Total"
"Chile",2022,18801,"Total"
"Colombia",2013,10075,"Total"
"Colombia",2014,11134,"Total"
"Colombia",2015,11757,"Total"
"Colombia",2016,11888,"Total"
"Colombia",2017,12071,"Total"
"Colombia",2018,12194,"Total"
"Colombia",2019,12291,"Total"
"Colombia",2020,12387,"Total"
"Colombia",2021,12577,"Total"
"Colombia",2022,13469,"Total"
"Ecuador",2013,2388,"Total"
"Ecuador",2014,2440,"Total"
"Ecuador",2015,2599,"Total"
"Ecuador",2016,4640,"Total"
"Ecuador",2017,4714,"Total"
"Ecuador",2018,5266,"Total"
"Ecuador",2019,5277,"Total"
"Ecuador",2020,5298,"Total"
"Ecuador",2021,5300,"Total"
"Ecuador",2022,5394,"Total"
"Falklands Malv",2013,1,"Total"
"Falklands Malv",2014,1,"Total"
"Falklands Malv",2015,1,"Total"
"Falklands Malv",2016,1,"Total"
"Falklands Malv",2017,1,"Total"
"Falklands Malv",2018,1,"Total"
"Falklands Malv",2019,3,"Total"
"Falklands Malv",2020,3,"Total"
"Falklands Malv",2021,3,"Total"
"Falklands Malv",2022,3,"Total"
"Fr Guaiana",2013,158,"Total"
"Fr Guaiana",2014,158,"Total"
"Fr Guaiana",2015,168,"Total"
"Fr Guaiana",2016,168,"Total"
"Fr Guaiana",2017,168,"Total"
"Fr Guaiana",2018,168,"Total"
"Fr Guaiana",2019,171,"Total"
"Fr Guaiana",2020,179,"Total"
"Fr Guaiana",2021,179,"Total"
"Fr Guaiana",2022,179,"Total"
"Guyana",2013,55,"Total"
"Guyana",2014,56,"Total"
"Guyana",2015,58,"Total"
"Guyana",2016,49,"Total"
"Guyana",2017,50,"Total"
"Guyana",2018,51,"Total"
"Guyana",2019,53,"Total"
"Guyana",2020,53,"Total"
"Guyana",2021,53,"Total"
"Guyana",2022,53,"Total"
"Paraguay",2013,8849,"Total"
"Paraguay",2014,8849,"Total"
"Paraguay",2015,8849,"Total"
"Paraguay",2016,8849,"Total"
"Paraguay",2017,9849,"Total"
"Paraguay",2018,10849,"Total"
"Paraguay",2019,8851,"Total"
"Paraguay",2020,8852,"Total"
"Paraguay",2021,8853,"Total"
"Paraguay",2022,8853,"Total"
